Source,Target,Weight,total,NoJobs,SIC,SICsector,Postcode
Northern Ireland,Belfast,"7,000","32,000",1,43210,Construction,BT3 9HB
Northern Ireland,Belfast,"2,640","9,000",0,18129,Manufacturing,BT12 6HR
Northern Ireland,"Newry, Mourne and Down","19,250","35,000",0,62012,Information And Communication,BT30 7JU
Northern Ireland,Mid Ulster,"30,600","76,500",0,23700,Manufacturing,BT70 1TZ
Northern Ireland,Mid Ulster,"21,000","73,000",0,28920,Manufacturing,BT71 5EE
United States,Antrim and Newtownabbey,"842,366","3,018,400",0,26511,Manufacturing,BT41 1QS
Northern Ireland,Belfast,"20,000","50,000",1,82990,Administrative And Support Service Activities,BT3 9LE
Northern Ireland,Fermanagh and Omagh,"5,000","13,200",0,96090,Other Service Activities,BT92 0AD
Northern Ireland,Mid Ulster,"147,288","420,822",0,28921,Manufacturing,BT80 9DG
Northern Ireland,Belfast,"44,940","135,437",0,56290,Accommodation And Food Service Activities,BT7 3GG
Northern Ireland,Lisburn and Castlereagh,"10,000","21,403",0,46439,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT28 2GN
Northern Ireland,Fermanagh and Omagh,"3,500","7,000",0,89200,Mining And Quarrying,BT75 0SF
Northern Ireland,Antrim and Newtownabbey,"1,600","3,200",0,63990,Information And Communication,BT41 3SF
Northern Ireland,"Newry, Mourne and Down","31,896","79,740",2,32200,Manufacturing,BT30 9UP
Northern Ireland,"Armagh City, Banbridge and Craigavon","6,675","30,990",0,23610,Manufacturing,BT62 2ED
Northern Ireland,"Armagh City, Banbridge and Craigavon","20,000","80,000",1,47910,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT35 6EE
Northern Ireland,Mid Ulster,"49,000","216,000",7,29320,Manufacturing,BT71 6LN
Northern Ireland,"Armagh City, Banbridge and Craigavon","22,000","81,000",2,11010,Manufacturing,BT62 1AJ
Northern Ireland,Fermanagh and Omagh,"6,346","15,866",0,46499,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT79 7NE
Irish Republic,"Armagh City, Banbridge and Craigavon","50,000","125,000",0,22290,Manufacturing,BT66 6LN
Northern Ireland,"Newry, Mourne and Down","5,000","29,600",5,85590,Education,BT35 8SW
Northern Ireland,Belfast,"27,104","75,760",1,62012,Information And Communication,BT2 8DN
Northern Ireland,Derry City and Strabane,"6,210","15,820",0,31020,Manufacturing,BT47 3XX
Northern Ireland,Belfast,"24,276","48,552",0,63110,Information And Communication,BT7 2JA
