Business Name (Published),Financial Year Offer Made,Total Assistance Offered by Invest NI (£),Total Investment (Includes Invest NI Assistance) £,Conditions of Offer,Jobs to be Created (Assisted),Country of Ownership,Ownership when the offer was made,New / Existing,Constituency in which business was located when offer was made,Council in which business was located when offer was made,SIC Code 5 Digit,SIC Sector,Current Address Line 1,Current Address Line 2, Current Address Line 3,Current Address Line 4,Current Address Line 5,Current Postcode
Cowen International Limited,2013-14,"147,264","368,161",Developing Skills,0,United States of America,External,Existing,BELFAST SOUTH,Belfast,64304,Financial And Insurance Activities,Centre Point,24 Ormeau Avenue, ,Belfast,County Antrim,BT2 8HS
360 Attachments (UK) Ltd,2013-14,"12,650","23,000",Investing in R&D                    ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,28250,Manufacturing,138 Ballinderry Bridge Road,Ballinderry,Coagh,Cookstown,County Londonderry,BT80 0AY
Linden Foods Limited,2013-14,"314,241","1,047,470",Developing Skills,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,10110,Manufacturing,Granville Industrial Estate, , ,Dungannon,County Tyrone,BT70 1NJ
Solmatix,2013-14,"34,528","114,320",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,43290,Construction,10 Tully Road,Nutt's Corner, ,Antrim,County Antrim,BT29 4SW
Bio-Kinetic Europe Limited,2013-14,"15,779","52,598",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,72100,"Professional, Scientific And Technical Activities",Ceased Trading,,,,,
Graham,2013-14,"76,051","253,504",Developing Skills,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,42990,Construction,Ballygowan Road, , ,Hillsborough,County Down,BT26 6HX
Apt Innovations Ltd,2013-14,"49,815","128,700",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,27520,Manufacturing,21 Cross Lane,Magheragall, ,Lisburn,County Antrim,BT28 2TH
The BRC Partnership,2013-14,"12,525","31,312",Developing Skills,0,Northern Ireland,Local,Existing,EAST ANTRIM,Mid and East Antrim,70229,"Professional, Scientific And Technical Activities",The Courtyard,38 Scotch Quarter, ,Carrickfergus,County Antrim,BT38 7DP
Elite Electronic Systems Ltd,2013-14,"49,637","248,187",Developing Skills,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Fermanagh and Omagh,26120,Manufacturing,Lackaboy Industrial Estate,Killyvilly, ,Enniskillen,County Fermanagh,BT74 4RL
Titan IC Systems Limited,2013-14,"495,069","1,156,987",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,62010,Information And Communication,Unit 8 Innovation Centre,Queen's Road,Queens Island,Belfast,County Down,BT3 9DT
CVS Caremark NI IT Operations Center Ltd,2013-14,"725,000","7,460,000",Creating Jobs / Capital Investment / Business Development,100,United States of America,External,Existing,BELFAST SOUTH,Belfast,62020,Information And Communication,Ceased Trading,,,,,
Huhtamaki Foodservice Delta,2013-14,"369,946","2,435,000",Other,0,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,17219,Manufacturing,Unit 10 Kennedy Way Industrial Estate,Blackstaff Road, ,Belfast,County Antrim,BT11 9DT
Forest Feast,2013-14,"99,000","709,985",Creating Jobs / Capital Investment / Business Development,10,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",10390,Manufacturing,Unit 8 Carn Drive,Carn Industrial Estate, ,Portadown,County Armagh,BT63 5WJ
"Ryobi Aluminium Casting (UK), Limited",2013-14,"2,100,000","32,500,000",Creating Jobs / Capital Investment / Business Development,100,Japan,External,Existing,EAST ANTRIM,Mid and East Antrim,24540,Manufacturing,5 Meadowbank Road,Trooperslane Industrial Estate, ,Carrickfergus,County Antrim,BT38 8YF
Thompson Aero Seating Limited,2013-14,"1,700,000","10,256,000",Creating Jobs / Capital Investment / Business Development,85,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",30990,Manufacturing,50 Seagoe Industrial Estate, , ,Portadown,County Armagh,BT63 5QE
B/E Aerospace (UK) Limited,2014-15,"600,000","22,173,539",Creating Jobs / Capital Investment / Business Development,50,United States of America,External,Existing,SOUTH DOWN,"Newry, Mourne and Down",30300,Manufacturing,2 Moor Road, , ,Kilkeel,County Down,BT34 4NG
Norbev Limited,2013-14,"190,000","955,000",Creating Jobs / Capital Investment / Business Development,12,Northern Ireland,Local,Existing,NORTH ANTRIM,Mid and East Antrim,11070,Manufacturing,100 Railway Street, , ,Ballymena,County Antrim,BT42 2AF
John Thompson & Sons Ltd,2013-14,"43,818","175,274",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,10910,Manufacturing,35/39 York Road, , ,Belfast,County Antrim,BT15 3GW
McKeown Fine Foods Limited,2013-14,"8,723","21,808",Developing Skills,0,Northern Ireland,Local,Existing,NORTH ANTRIM,Causeway Coast and Glens,10120,Manufacturing,Dreen Farm,296 Townhill Road, ,Rasharkin,County Antrim,BT44 8RW
Airpos Ltd,2013-14,"38,912","104,921",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62020,Information And Communication,3-5 Commercial Court, , ,Belfast,County Antrim,BT1 2NB
Etain Limited,2013-14,"52,263","124,435",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,63990,Information And Communication,1st Floor 21 James Street South, , ,Belfast,County Antrim,BT2 7GA
McColgans Quality Foods Limited,2013-14,"99,542","817,710",Creating Jobs / Capital Investment / Business Development,9,Northern Ireland,Local,Existing,WEST TYRONE,Derry City and Strabane,10130,Manufacturing,Dublin Road Industrial Estate, , ,Strabane,County Tyrone,BT82 9EA
Foyle Food Group Ltd,2013-14,"306,603","1,022,010",Developing Skills,0,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,10110,Manufacturing,Lisahally,Campsie, ,Derry,County Londonderry,BT47 6TJ
"Ryobi Aluminium Casting (UK), Limited",2013-14,"245,839","877,998",Developing Skills,0,Japan,External,Existing,EAST ANTRIM,Mid and East Antrim,24540,Manufacturing,5 Meadowbank Road,Trooperslane Industrial Estate, ,Carrickfergus,County Antrim,BT38 8YF
Edge Innovate (NI) Limited,2013-14,"81,804","216,592",Developing Skills,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,28920,Manufacturing,30 Farlough Road, , ,Dungannon,County Tyrone,BT71 4DT
Copius (NI) Ltd,2013-14,"38,400","192,000",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,New,BELFAST NORTH,Antrim and Newtownabbey,82990,Administrative And Support Service Activities,303a Antrim Road, ,Glengormley,Newtownabbey,County Antrim,BT36 7AP
u-bake,2013-14,"4,410","9,000",Developing Skills,0,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,10710,Manufacturing,Beraghmore Road,Skeoge Industrial Estate, ,Derry,County Londonderry,BT48 8SE
Ashdale Engineering Limited,2013-14,"87,720","250,629",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,46520,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,39 York Park,Shore Road, ,Belfast,County Antrim,BT15 3PX
Bemis Healthcare Packaging Limited,2013-14,"163,237","494,659",Developing Skills,0,United States of America,External,Existing,FOYLE,Derry City and Strabane,22220,Manufacturing,Acorn Road,Campsie Industrial Estate, ,Derry,County Londonderry,BT47 3GQ
Malone Lodge Hotel Limited,2013-14,"33,830","96,656",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,55100,Accommodation And Food Service Activities,60 Eglantine Avenue, , ,Belfast,County Antrim,BT9 6DY
Moy Park Limited,2014-15,"9,500,000","170,000,000",Creating Jobs / Capital Investment / Business Development,628,Brazil,External,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",10120,Manufacturing,39 Seagoe Industrial Estate,The Food Park, ,Craigavon,County Armagh,BT63 5QE
Greenmount Meats,2013-14,"2,695","4,900",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",10130,Manufacturing,57 Annareagh Road, , ,Richhill,County Armagh,BT61 9JT
Denroy Plastics Limited,2013-14,"28,309","92,969",Developing Skills,0,Northern Ireland,Local,Existing,NORTH DOWN,Ards and North Down,22290,Manufacturing,9-11 Balloo Drive,Balloo Industrial Estate, ,Bangor,County Down,BT19 7QY
Etain Limited,2013-14,"272,000","2,240,000",Creating Jobs / Capital Investment / Business Development,34,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,63990,Information And Communication,1st Floor 21 James Street South, , ,Belfast,County Antrim,BT2 7GA
Genesis Crafty,2013-14,"32,120","64,239",Developing Skills,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,10710,Manufacturing,31 Aughrim Road, , ,Magherafelt,County Londonderry,BT45 6BB
Larsen (Manufacturing) Limited,2013-14,"41,676","104,192",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,20590,Manufacturing,West Bank Road,Harbour Industrial Estate, ,Belfast,County Antrim,BT3 9JL
Big Motive Ltd,2013-14,"97,913","244,783",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,59110,Information And Communication,Alexander House,17 Ormeau Avenue, ,Belfast,County Antrim,BT2 8HD
Enisca Limited,2013-14,"48,446","173,023",Developing Skills,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,71129,"Professional, Scientific And Technical Activities",Derryloran Industrial Estate,Sandholes Road, ,Cookstown,County Tyrone,BT80 9LU
Hannan Meats Limited,2013-14,"40,000","248,000",Creating Jobs / Capital Investment / Business Development,8,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,10130,Manufacturing,9 Moira Industrial Estate,Old Kilmore Road, ,Moira,County Down,BT67 0LZ
GM Marketing (Ireland) Limited,2013-14,"35,478","99,780",Other,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,82990,Administrative And Support Service Activities,9 Hillview Road, , ,Belfast,County Antrim,BT14 7BT
Regal Processors Limited,2013-14,"28,400","71,000",Other,0,United States of America,External,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",32990,Manufacturing,2 Silverwood Industrial Estate, , ,Craigavon,County Armagh,BT66 6LN
Larsen (Manufacturing) Limited,2013-14,"38,154","99,160",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,20590,Manufacturing,West Bank Road,Harbour Industrial Estate, ,Belfast,County Antrim,BT3 9JL
Comtek Network Systems (UK) Limited,2013-14,"19,338","64,460",Developing Skills,0,Great Britain,External,Existing,EAST ANTRIM,Antrim and Newtownabbey,61200,Information And Communication,Heron Business Park,Unit D1,19 Heron Road,Belfast,County Down,BT3 9LE
Crust & Crumb,2013-14,"40,400","101,000",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Fermanagh and Omagh,10710,Manufacturing,37 Main Street,Derrylin, ,Enniskillen,County Fermanagh,BT92 9JZ
Hampton Conservatories Limited,2013-14,"46,556","103,457",Investing in R&D                    ,0,Northern Ireland,Local,Existing,EAST LONDONDERRY,Causeway Coast and Glens,16230,Manufacturing,218 Ballybogy Road, , ,Portrush,County Antrim,BT56 8NE
Mackle Snacks,2013-14,"75,000","466,000",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",10612,Manufacturing,18 Armagh Road, ,Moy,Dungannon,County Armagh,BT71 7HZ
Specialist Joinery Fittings Limited,2013-14,"46,176","115,441",Other,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,16220,Manufacturing,100 Coleraine Road, , ,Maghera,County Londonderry,BT46 5BP
Graham's Home Bakery,2013-14,"26,633","66,582",Developing Skills,0,Northern Ireland,Local,Existing,LAGAN VALLEY,"Armagh City, Banbridge and Craigavon",10710,Manufacturing,6 Barronstown Road, , ,Dromore,County Down,BT25 1NT
Irwin's Bakery,2013-14,"14,700","30,000",Developing Skills,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",10710,Manufacturing,The Food Park,Carn Industrial Estate, ,Portadown,County Armagh,BT63 5WE
In-House Publications,2013-14,"33,344","110,360",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",58190,Information And Communication,1 Annagh Drive,Carn Industrial Estate, ,Portadown,County Armagh,BT63 5RH
Ellcon Investments Limited,2013-14,"756,200","7,171,056",Creating Jobs / Capital Investment / Business Development,107,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,66290,Financial And Insurance Activities,Linen Loft,27-37 Adelaide Street, ,Belfast,County Antrim,BT2 8FE
Exploristics Ltd,2013-14,"32,325","76,965",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,63110,Information And Communication,24 Linenhall St, , ,Belfast,County Antrim,BT2 8BG
New World Developments Limited,2013-14,"160,608","1,192,887",Investing in R&D                    ,0,Northern Ireland,Local,Existing,NORTH ANTRIM,Mid and East Antrim,22230,Manufacturing,Woodside Industrial Estate,Woodside Road, ,Ballymena,County Antrim,BT42 4HX
CRS (NI) Ltd,2013-14,"48,609","81,015",Investing in R&D                    ,0,Northern Ireland,Local,Existing,WEST TYRONE,Fermanagh and Omagh,28920,Manufacturing,136 Termon Road, , ,Carrickmore,County Tyrone,BT79 9HW
Larsen (Manufacturing) Limited,2013-14,"37,324","93,310",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,20590,Manufacturing,West Bank Road,Harbour Industrial Estate, ,Belfast,County Antrim,BT3 9JL
Core Systems (NI) Ltd,2013-14,"92,826","232,064",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,62012,Information And Communication,Units 4-7 Glenbank,720 Crumlin Road, ,Belfast,County Antrim,BT14 8AD
Schrader Electronics Limited,2013-14,"1,159,054","5,823,350",Investing in R&D                    ,0,United States of America,External,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,26511,Manufacturing,11 Technology Park,Belfast Road, ,Antrim,County Antrim,BT41 1QS
Schrader Electronics Limited,2013-14,"212,170","1,023,927",Investing in R&D                    ,0,United States of America,External,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,26511,Manufacturing,11 Technology Park,Belfast Road, ,Antrim,County Antrim,BT41 1QS
Precision Processing Services Limited,2013-14,"32,440","81,100",Investing in R&D                    ,0,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,25610,Manufacturing,60 Clooney Road, , ,Derry,County Londonderry,BT47 6TR
Island Salads,2013-14,0,"12,000",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",10890,Manufacturing,4B Moytown Road,Aghagallon, ,Craigavon,County Antrim,BT67 0AZ
Corrie's Meats Limited,2013-14,0,"367,720",Other,0,Northern Ireland,Local,Existing,STRANGFORD,Ards and North Down,10130,Manufacturing,13 Crossnamuckley Road, , ,Newtownards,County Down,BT22 2AA
CCP Gransden Ltd,2013-14,"16,991","46,597",Developing Skills,0,Northern Ireland,Local,Existing,STRANGFORD,Ards and North Down,22190,Manufacturing,17 Moss Road,Ballygowan, ,Newtownards,County Down,BT23 6JE
Daily Bake Ltd,2013-14,"49,000","459,600",Creating Jobs / Capital Investment / Business Development,11,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",10710,Manufacturing,58D Hamiltonsbawn Road Industrial Estate,Hamiltonsbawn Road, ,Armagh,County Armagh,BT60 1HW
Clinty Re-Gen Limited,2013-14,"126,725","253,450",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,20130,Manufacturing,27 Duncrue Street, , ,Belfast,County Antrim,BT3 9AR
Options Technology Ltd,2013-14,"249,000","2,220,000",Creating Jobs / Capital Investment / Business Development,31,Great Britain,External,New,BELFAST SOUTH,Belfast,62020,Information And Communication,47a Botanic Avenue, , ,Belfast,County Antrim,BT7 1JL
Positive Electrical Systems Ltd,2013-14,"6,000","19,000",Other,0,Northern Ireland,Local,New,SOUTH ANTRIM,Antrim and Newtownabbey,28930,Manufacturing,7 Village Hill,Irish Hill Road,Straid,Ballyclare,County Antrim,BT39 9WQ
Office Interior Solutions,2013-14,"17,824","44,560",Other,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,31010,Manufacturing,Westbank Drive,Belfast Harbour Industrial Estate, ,Belfast,County Antrim,BT3 9LA
Premier Electrics Ltd,2013-14,"39,296","98,240",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,71129,"Professional, Scientific And Technical Activities",16c Tamlaghtduff Road, , ,Bellaghy,County Londonderry,BT45 8JQ
Core Systems (NI) Ltd,2013-14,"72,000","468,000",Creating Jobs / Capital Investment / Business Development,8,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,62012,Information And Communication,Units 4-7 Glenbank,720 Crumlin Road, ,Belfast,County Antrim,BT14 8AD
Catagen Limited,2013-14,"376,013","736,065",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,71121,"Professional, Scientific And Technical Activities",1 Chlorine Gardens, , ,Belfast,County Antrim,BT9 5DJ
STATSports Group Limited,2013-14,"94,645","315,483",Investing in R&D                    ,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Newry, Mourne and Down",62020,Information And Communication,Drumallane Mill,The Quays, ,Newry,County Down,BT35 8QS
Datactics Limited,2013-14,"43,124","135,210",Creating Jobs / Capital Investment / Business Development,2,Great Britain,External,Existing,BELFAST EAST,Belfast,62012,Information And Communication,"Unit C1, Suite B",2nd Floor,Lanyon Quay,Belfast,County Antrim,BT1 3LG
Bubblebum Holdings Limited,2013-14,"46,846","105,853",Investing in R&D                    ,0,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,30990,Manufacturing,The Innovation Centre,Northern Ireland Science Park,Bay Road,Derry,County Londonderry,BT48 7TG
Kanisi Ltd,2013-14,"45,412","91,780",Investing in R&D                    ,0,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,63990,Information And Communication,Ceased Trading,,,,,
McElmeel Mobility Services Limited,2013-14,"8,352","27,840",Developing Skills,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",30990,Manufacturing,15 Ballyscandal Road, , ,Armagh,County Armagh,BT61 8BL
CDE Global Limited,2013-14,"24,625","50,750",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,28921,Manufacturing,Ballyreagh Industrial Estate,Sandholes Road, ,Cookstown,County Tyrone,BT80 9DG
Mi-Care Solutions Limited,2013-14,"32,296","71,768",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST EAST,Lisburn and Castlereagh,31090,Manufacturing,F5 Dundonald Enterprise Park,Carrowreagh Road, ,Dundonald,County Down,BT16 1QT
Antrim Hills Spring Water Company Limited,2013-14,"47,600","119,000",Other,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,11070,Manufacturing,100 Irish Hill Road, , ,Ballyclare,County Antrim,BT39 9NL
Allplay Ireland Limited,2013-14,"9,937","27,963",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",32300,Manufacturing,12 Crabtree Road, , ,Ballynahinch,County Down,BT24 8RH
Suki Teahouse Limited,2013-14,0,"113,539",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,10831,Manufacturing,Unit 6A Twin Spires Centre,155 Northumberland Street, ,Belfast,County Antrim,BT13 2JF
Donegal Rapeseed Oil,2013-14,0,"440,993",Creating Jobs / Capital Investment / Business Development,2,Irish Republic,External,Existing,WEST TYRONE,Derry City and Strabane,10410,Manufacturing,29 Erganagh Road, , ,Castlederg,County Tyrone,BT81 7JQ
Glastry Farm Ice Cream Limited,2013-14,0,"671,318",Other,0,Northern Ireland,Local,Existing,STRANGFORD,Ards and North Down,10520,Manufacturing,Glastry Farm,43 Manse Road,Kircubbin,Newtownards,County Down,BT22 1DR
Baronscourt Estate,2013-14,0,"17,250",Other,0,Northern Ireland,Local,Existing,WEST TYRONE,Derry City and Strabane,10110,Manufacturing,Baronscourt Estate Office, ,Newtownstewart,Omagh,County Tyrone,BT78 4EZ
Pizzado,2013-14,0,"104,718",Other,0,Northern Ireland,Local,Existing,STRANGFORD,Ards and North Down,10710,Manufacturing,25 Loughdoo Road,Ardkeen, ,Newtownards,County Down,BT22 1HN
Orchard Fresh Foods Limited,2013-14,0,"124,580",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",10390,Manufacturing,81 Creenagh Road, , ,Loughgall,County Armagh,BT61 8PY
Kilmore Farm Produce Ltd,2013-14,0,"123,030",Creating Jobs / Capital Investment / Business Development,5,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",10390,Manufacturing,38 Annahagh,Kilmore,Moy,Dungannon,County Armagh,BT71 7JE
Wilson's Country,2013-14,0,"1,038,821",Creating Jobs / Capital Investment / Business Development,5,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",46310,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,25 Carn Road, , ,Craigavon,County Armagh,BT63 5WG
Benburb Bramleys Limited,2013-14,0,"534,000",Other,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,10390,Manufacturing,237 Derryfubble Road, , ,Benburb,County Tyrone,BT71 7JX
Mourne Veg,2013-14,0,"137,695",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",10390,Manufacturing,36 Tullyframe Road, , ,Kilkeel,County Down,BT34 4RY
U.M.I. Foods,2013-14,0,"768,150",Other,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",10390,Manufacturing,Edenaveys Industrial Estate,Newry Road, ,Armagh,County Armagh,BT60 1NF
Oakleaf Contracts (Europe) Ltd,2013-14,"6,850","13,980",Developing Skills,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,43310,Construction,Unit 1 Kilcronagh Business Park, , ,Cookstown,County Tyrone,BT80 9HG
ConveyorTek Limited,2013-14,"42,760","85,520",Investing in R&D                    ,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,28220,Manufacturing,Unit 1 Ballinderry Industrial Estate,2a Glenavy Road,Upper Ballinderry,Lisburn,County Antrim,BT28 2EU
ROCO Magazine,2013-14,"5,324","22,710",Other,0,Northern Ireland,Local,New,WEST TYRONE,Fermanagh and Omagh,74100,"Professional, Scientific And Technical Activities",43 Mullaghmenagh Meadows, , ,Omagh,County Tyrone,BT78 5QJ
Heatboss,2013-14,"22,354","49,676",Investing in R&D                    ,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,28290,Manufacturing,1 Farranshane House,Ballygore Road, ,Antrim,County Antrim,BT41 2RN
Cullen Allen Ltd,2013-14,"82,513","153,264",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,10310,Manufacturing,8 Wandsworth Drive, , ,Belfast,County Down,BT4 2BJ
Moy Park Limited,2014-15,"83,821","335,283",Investing in R&D                    ,0,Brazil,External,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",10120,Manufacturing,39 Seagoe Industrial Estate,The Food Park, ,Craigavon,County Armagh,BT63 5QE
Seven Technologies Group Limited,2013-14,"120,542","301,354",Developing Skills,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,62012,Information And Communication,23 Crescent Business Park, , ,Lisburn,County Antrim,BT28 2GN
Dernaseer Engineering Limited,2013-14,"130,884","338,004",Investing in R&D                    ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,28920,Manufacturing,114 Gortlenaghan Road, , ,Dungannon,County Tyrone,BT70 3BW
Banah UK Ltd,2013-14,"689,802","2,318,443",Investing in R&D                    ,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,23510,Manufacturing,1B Letterloan Road,Macosquin, ,Coleraine,County Londonderry,BT51 4PP
The Print Factory,2013-14,"12,919","28,210",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Fermanagh and Omagh,18129,Manufacturing,Lackaghboy Industrial Estate,Tempo Road, ,Enniskillen,County Fermanagh,BT74 4RL
Graham,2013-14,"134,768","449,225",Developing Skills,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,42990,Construction,Ballygowan Road, , ,Hillsborough,County Down,BT26 6HX
Walker Communications Ltd,2013-14,"28,000","168,000",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,Existing,NORTH DOWN,Ards and North Down,70210,"Professional, Scientific And Technical Activities",43 High Street, , ,Holywood,County Down,BT18 9AB
Entropic Communications Inc.,2013-14,"211,413","744,644",Investing in R&D                    ,0,United States of America,External,Existing,BELFAST SOUTH,Belfast,62020,Information And Communication,Ceased Trading,,,,,
Schrader Electronics Limited,2013-14,"1,212,387","4,861,351",Investing in R&D                    ,0,United States of America,External,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,26511,Manufacturing,11 Technology Park,Belfast Road, ,Antrim,County Antrim,BT41 1QS
Biztech Software,2013-14,"30,000","206,000",Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62010,Information And Communication,2nd Floor 47-53 Hampton House, , ,Belfast,County Antrim,BT1 2QS
A N Irwin Feeds Ltd,2013-14,"199,947","451,154",Investing in R&D                    ,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,10910,Manufacturing,Stilloga Mills,11 Carrowcoleman Road,Eglish,Dungannon,County Tyrone,BT70 1LF
Rich Sauces,2013-14,"43,625","174,500",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,Existing,STRANGFORD,Ards and North Down,10840,Manufacturing,34 Jubilee Road, , ,Newtownards,County Down,BT23 4YH
Konnect M & E Ltd,2013-14,"4,085","10,576",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,82990,Administrative And Support Service Activities,Unit A5 Sydenham Business Park,17 Heron Road, ,Belfast,County Down,BT3 9LE
Maximus Crushing & Screening Ltd,2013-14,"110,602","442,409",Investing in R&D                    ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,28920,Manufacturing,48 Coalisland Road, , ,Dungannon,County Tyrone,BT71 6LA
Burrows Trading Ltd,2013-14,"35,000","188,000",Creating Jobs / Capital Investment / Business Development,5,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,46330,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,51 Terrenew Road, , ,Dungannon,County Tyrone,BT70 3AB
Yelo Limited,2013-14,"135,000","816,000",Creating Jobs / Capital Investment / Business Development,15,Northern Ireland,Local,Existing,EAST ANTRIM,Mid and East Antrim,26511,Manufacturing,Trooperslane Industrial Estate,20 Meadowbank Road, ,Carrickfergus,County Antrim,BT38 8YF
