Business Name (Published),Financial Year Offer Made,Total Assistance Offered by Invest NI (£),Total Investment (Includes Invest NI Assistance) £,Conditions of Offer,Jobs to be Created (Assisted),Country of Ownership,Ownership when the offer was made,New / Existing,Constituency in which business was located when offer was made,Council in which business was located when offer was made,SIC Code 5 Digit,SIC Sector,Current Address Line 1,Current Address Line 2, Current Address Line 3,Current Address Line 4,Current Address Line 5,Current Postcode
Examenlab Limited,2017-18,"39,929","121,268",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,86900,Human Health And Social Work Activities,"Unit 18A, Block K,",Weavers Court Business Park,Linfield Road,Belfast,County Antrim,BT12 5GH
Action Renewables,2017-18,"14,735","42,088",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,71122,"Professional, Scientific And Technical Activities",Block C Unit 1 Boucher Business Studios,Glenmachan Place, ,Belfast,County Antrim,BT12 6QH
Thornton Modular Buildings Limited,2017-18,"30,001","107,148",Investing in R&D                    ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,41202,Construction,30 Gortinure Road, , ,Maghera,County Londonderry,BT46 5PA
Locate a Locum,2017-18,"4,900","10,000",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,63120,Information And Communication,52 Westway Crescent, , ,Belfast,County Antrim,BT13 3NU
Kingsbridge Private Hospital Limited,2017-18,"20,100","67,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,86220,Human Health And Social Work Activities,21 Channel Wharf,Old Channel Road, ,Belfast,County Down,BT3 9DE
Power On Technologies Ltd,2017-18,700,"1,400",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST ANTRIM,Causeway Coast and Glens,82990,Administrative And Support Service Activities,10-16 Coast Road,Cushendall, ,Ballymena,County Antrim,BT44 0RU
A & B Pneumatics Limited,2017-18,"2,436","4,872",Developing Skills,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,29320,Manufacturing,20 Glenavy Road, , ,Moira,County Antrim,BT67 0LT
Old Hand Productions,2017-18,"3,325","6,650",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST ANTRIM,Mid and East Antrim,32200,Manufacturing,3 Raw Brae Road,Whitehead, ,Carrickfergus,County Antrim,BT38 9TE
McCloy Consulting Limited,2017-18,"22,904","66,120",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,82990,Administrative And Support Service Activities,Mossley Mill,Lower Ground (West),Carnmoney Road North,Newtownabbey,County Antrim,BT36 5QA
Electro Mech Agri Limited,2017-18,"3,000","7,501",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,28302,Manufacturing,7 Tulnagall Road,Donaghmore, ,Dungannon,County Tyrone,BT70 3LR
Lagan Electrical Ltd,2017-18,"48,000","430,000",Creating Jobs / Capital Investment / Business Development,8,Northern Ireland,Local,Existing,WEST TYRONE,Fermanagh and Omagh,71200,"Professional, Scientific And Technical Activities",73 Garvallagh Road,Seskinore, ,Omagh,County Tyrone,BT78 2QY
Hydrogen Green Power Ltd,2017-18,"15,404","55,016",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Lisburn and Castlereagh,35210,"Electricity, Gas, Steam And Air Conditioning Supply",Emerson House,14B Ballynahinch Road,Carryduff,Belfast,County Down,BT8 8DN
Beacon Publishing Ltd,2017-18,"28,000","274,000",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,New,BELFAST SOUTH,Belfast,62020,Information And Communication,6 Trossachs Gardens, , ,Belfast,County Antrim,BT10 0HX
Syndeo Limited,2017-18,"9,000","30,000",Other,0,Northern Ireland,Local,Existing,BELFAST WEST,Belfast,62012,Information And Communication,6th Floor,1 - 3 Lombard Street, ,Belfast,County Antrim,BT1 1RB
JobzGenie - Signup to move up!,2017-18,"38,100","218,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,BELFAST NORTH,Belfast,62020,Information And Communication,Biznet House,39 Dargan Road, ,Belfast,County Antrim,BT3 9JU
Slurrykat,2017-18,"61,221","204,070",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",28302,Manufacturing,44 Lowtown Road, , ,Waringstown,County Down,BT66 7SJ
Blok 51,2017-18,"1,984","4,960",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST LONDONDERRY,Causeway Coast and Glens,20412,Manufacturing,"Unit 13, Kilrea Enterprise Centre",Church Street,Kilrea,Coleraine,County Londonderry,BT51 5QU
Paper Owl Films Limited,2017-18,"4,625","13,226",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NORTH DOWN,Ards and North Down,59113,Information And Communication,8 High Street, , ,Holywood,County Down,BT18 9AZ
Uleska Ltd,2017-18,"2,400","4,800",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,80200,Administrative And Support Service Activities,16 Mount Charles, , ,Belfast,County Antrim,BT7 1NZ
RW Powder Coatings Limited,2017-18,"3,528","7,200",Developing Skills,0,Northern Ireland,Local,Existing,STRANGFORD,Ards and North Down,25610,Manufacturing,46 Hillsborough Road,Comber, ,Newtownards,County Down,BT23 5PW
The Skunk Works Surfboard Company,2017-18,"45,000","461,000",Creating Jobs / Capital Investment / Business Development,5,Northern Ireland,Local,Existing,EAST LONDONDERRY,Causeway Coast and Glens,22290,Manufacturing,5 Riversdale Road, , ,Coleraine,County Londonderry,BT52 1XA
Mel Angelo Morrison Ltd,2017-18,"1,500","3,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",26400,Manufacturing,6 Demesne Court,Seaforde, ,Downpatrick,County Down,BT30 8NE
Acorn IT Solutions Limited,2017-18,"4,790","11,975",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST LONDONDERRY,Causeway Coast and Glens,62020,Information And Communication,59 - 61 Maghera Street,Kilrea, ,Coleraine,County Londonderry,BT51 5QL
